_id,adminmusic,category_name,description,createdAt,updatedAt,__v,image
5efb169aab4ae43784642752,"[{""$oid"":""5efbb89104d5c823f82aef39""},{""$oid"":""5efdd553785bc76488956f90""}]",India Top 50,Your daily update of the most played tracks in India right now.,2020-06-30T10:40:26.892Z,2020-07-02T12:38:49.356Z,2,\uploads\category_avatar/india50.jpg
5efb176c1d9ebb31ecb839a4,"[{""$oid"":""5efbbc76939b2850b43e4620""}]",Top Hits - Tamil,Cath the top hits from Kollywood! Cover : Anirudh Ravichander,2020-06-30T10:43:56.803Z,2020-06-30T22:28:19.962Z,1,\uploads\category_avatar/tamil.jpeg
5efb18f21d9ebb31ecb839a5,"[{""$oid"":""5efbbcbd939b2850b43e4621""}]",Top Hits - Telugu,Tune in to the Top Tracks from Tollywood! Cover : Armaan Malik,2020-06-30T10:50:26.516Z,2020-06-30T22:29:27.308Z,1,\uploads\category_avatar/telugu.jpeg
5efb1a181d9ebb31ecb839a6,"[{""$oid"":""5efbdefe450e0f0f8c58e05d""},{""$oid"":""5efdd339785bc76488956f8d""},{""$oid"":""5efdd4e6785bc76488956f8e""},{""$oid"":""5efdd534785bc76488956f8f""}]",Top Hits Punjabi,Catch the hottest punjabi songs.Cover: Karan Aujla,2020-06-30T10:55:20.900Z,2020-07-02T12:38:20.415Z,13,\uploads\category_avatar/karanaujla.jpg
5efb1a931d9ebb31ecb839a7,[],TED Talks Daily,TED,2020-06-30T10:57:23.719Z,2020-06-30T10:57:29.578Z,0,\uploads\category_avatar/tedtalks.jpg
5efb1abe1d9ebb31ecb839a8,[],On Purpose with Jay Shetty,Jay Shetty and Kast Media,2020-06-30T10:58:06.798Z,2020-06-30T10:58:13.438Z,0,\uploads\category_avatar/jay.jpeg
5efb1aeb1d9ebb31ecb839a9,[],7 Good Minutes Daily Self-Improvement Podcast with Clyde Lee Dennis,Clyde Lee Dennis,2020-06-30T10:58:51.863Z,2020-06-30T10:58:59.740Z,0,\uploads\category_avatar/goodminutes.jpg
5efb1b101d9ebb31ecb839aa,[],Sadhguru,Adiyogi,2020-06-30T10:59:28.663Z,2020-06-30T10:59:36.417Z,0,\uploads\category_avatar/sadhguru.jpeg
5efb1b2e1d9ebb31ecb839ab,[],The ALUX.COM Podcast,ALUX.com,2020-06-30T10:59:58.612Z,2020-06-30T11:00:06.687Z,0,\uploads\category_avatar/alux.jpeg
5efb1b511d9ebb31ecb839ac,[],Workout,Pop hits to keep your workout fresh.,2020-06-30T11:00:33.853Z,2020-06-30T11:00:43.005Z,0,\uploads\category_avatar/workout.jpg
5efb1d641d9ebb31ecb839ad,[],All Out 10s,EDM became mainstream and hip-hop started to rule the world - this is the 2010s.,2020-06-30T11:09:24.610Z,2020-06-30T11:09:34.873Z,0,\uploads\category_avatar/allout10.jpeg
5efb1da71d9ebb31ecb839ae,[],"Today's Top 10 Hits",Megan Thee Stallion & Beyoncé are on top of the Hottest 50!,2020-06-30T11:10:31.504Z,2020-06-30T11:10:42.619Z,0,\uploads\category_avatar/top10hits.jpeg
5efb1ddd1d9ebb31ecb839af,[],This is Alan Walker,The essential Alan Walker tracks and remixes.,2020-06-30T11:11:25.017Z,2020-06-30T11:11:36.699Z,0,\uploads\category_avatar/alanwalker.jpeg
5efb1e0f1d9ebb31ecb839b0,[],This is Arijit Singh,"The Bollywood crooner's best songs.",2020-06-30T11:12:15.849Z,2020-06-30T11:12:36.239Z,0,\uploads\category_avatar/thisas.jpg
5efb1e571d9ebb31ecb839b1,[],Mood Booster,Get happy with this pick-me-up playlist full of current feel-good songs!,2020-06-30T11:13:27.992Z,2020-06-30T11:13:36.139Z,0,\uploads\category_avatar/moodbooster.jpeg
5efb1e7c1d9ebb31ecb839b2,[],Alone Again,"When everything is lonely, I can be my best friend.",2020-06-30T11:14:04.088Z,2020-06-30T11:14:11.541Z,0,\uploads\category_avatar/aloneagain.jpeg
5efb1e9e1d9ebb31ecb839b3,[],Life Sucks,"Feeling like everything just plain sucks? We've all been there.",2020-06-30T11:14:38.037Z,2020-06-30T11:14:56.972Z,0,\uploads\category_avatar/lifesucks.jpeg
5efb1f2d1d9ebb31ecb839b4,[],"Feelin' Good",Feel good with this positively timeless playlist!,2020-06-30T11:17:01.471Z,2020-06-30T11:17:09.890Z,0,\uploads\category_avatar/feelinggood.jpeg
5efb1f531d9ebb31ecb839b5,[],Sad Beats,electronic melancholy &lt3,2020-06-30T11:17:39.375Z,2020-06-30T11:17:48.334Z,0,\uploads\category_avatar/sadbeats.jpeg
5efb1f7d1d9ebb31ecb839b6,[],Dreamy Vibes,Hypnotic bliss,2020-06-30T11:18:21.429Z,2020-06-30T11:18:49.180Z,0,\uploads\category_avatar/dreamyvibes.jpeg
5efb1fac1d9ebb31ecb839b7,[],Sleep,Gentle ambient piano to help you fall asleep.,2020-06-30T11:19:08.092Z,2020-06-30T11:19:23.003Z,0,\uploads\category_avatar/sleep.jpeg
5efb220f1d9ebb31ecb839b8,[],Sleepy Piano,Calm piano music for sleeping.,2020-06-30T11:29:19.185Z,2020-06-30T11:29:36.498Z,0,\uploads\category_avatar/sleepypiano.jpeg
5efb223c1d9ebb31ecb839b9,[],Shubh Night,"The perfect sounds to help you get a good night's sleep",2020-06-30T11:30:04.991Z,2020-06-30T11:30:13.456Z,0,\uploads\category_avatar/shubhnight.jpeg
5efb225f1d9ebb31ecb839ba,[],After Hours,The Weekend,2020-06-30T11:30:39.434Z,2020-06-30T11:30:47.743Z,0,\uploads\category_avatar/afterhours.jpeg
